order_id,order_date,customer_id,region,channel,category,product,quantity,unit_price,discount_rate,unit_cost
ORD000809,2024-01-04,C00264,East,Store,Fitness,Resistance Bands,1,22.82,0.1,7.48
ORD002832,2024-01-04,C00579,East,Store,Fitness,Yoga Mat,1,31.11,0.0,12.6
ORD003273,2024-01-04,C01965,South,Online,Fitness,Resistance Bands,1,23.23,0.1,7.48
ORD003273,2024-01-04,C01965,South,Online,Electronics,Headphones,2,87.34,0.15,49.3
ORD004786,2024-01-04,C00668,West,Online,Fitness,Dumbbells,2,68.79,0.05,39.9
ORD004786,2024-01-04,C00668,West,Online,Home,Lamp,1,45.45,0.0,21.12
ORD004931,2024-01-04,C00358,North,Online,Home,Lamp,3,45.64,0.15,21.12
ORD004931,2024-01-04,C00358,North,Online,Home,Coffee Maker,2,91.7,0.15,52.25
ORD000059,2024-01-05,C00344,South,Online,Home,Lamp,3,49.13,0.0,21.12
ORD000059,2024-01-05,C00344,South,Online,Home,Coffee Maker,1,100.0,0.0,52.25
ORD000107,2024-01-05,C00605,South,Online,Beauty,Skin Care Set,2,42.63,0.05,16.65
ORD001216,2024-01-05,C00161,South,Online,Beauty,Skin Care Set,2,43.17,0.15,16.65
ORD002428,2024-01-05,C00358,South,Store,Home,Lamp,1,47.18,0.05,21.12
ORD002477,2024-01-05,C00541,South,Online,Home,Lamp,1,51.15,0.1,21.12
ORD002941,2024-01-05,C00082,South,Online,Electronics,Keyboard,2,62.14,0.0,33.8
ORD002941,2024-01-05,C00082,South,Online,Home,Storage Box,2,24.47,0.1,9.36
ORD003282,2024-01-05,C00328,East,Online,Home,Storage Box,2,23.78,0.0,9.36
ORD003282,2024-01-05,C00328,East,Online,Fitness,Yoga Mat,1,31.8,0.2,12.6
ORD004027,2024-01-05,C00071,West,Store,Fitness,Dumbbells,1,66.59,0.0,39.9
ORD005814,2024-01-05,C01898,West,Online,Home,Coffee Maker,4,93.28,0.05,52.25
ORD000422,2024-01-06,C00420,West,Marketplace,Beauty,Skin Care Set,4,48.08,0.0,16.65
ORD000422,2024-01-06,C00420,West,Marketplace,Home,Lamp,2,47.49,0.05,21.12
ORD001125,2024-01-06,C00347,West,Online,Home,Storage Box,1,23.9,0.1,9.36
ORD001820,2024-01-06,C00535,West,Online,Beauty,Makeup Kit,2,42.01,0.05,14.0
ORD001933,2024-01-06,C00693,North,Store,Electronics,Keyboard,1,68.19,0.05,33.8
ORD004604,2024-01-06,C00490,West,Marketplace,Electronics,Smartwatch,1,223.07,0.1,132.3
ORD000463,2024-01-07,C00492,East,Marketplace,Beauty,Makeup Kit,2,40.55,0.1,14.0
ORD000463,2024-01-07,C00492,East,Marketplace,Fitness,Resistance Bands,3,23.33,0.15,7.48
ORD000993,2024-01-07,C00111,West,Online,Home,Coffee Maker,1,90.26,0.0,52.25
ORD001546,2024-01-07,C00177,West,Store,Fitness,Resistance Bands,1,23.7,0.1,7.48
ORD001546,2024-01-07,C00177,West,Store,Home,Storage Box,1,23.88,0.15,9.36
ORD002660,2024-01-07,C00170,East,Online,Home,Coffee Maker,1,95.77,0.15,52.25
ORD002660,2024-01-07,C00170,East,Online,Fitness,Resistance Bands,2,23.48,0.15,7.48
ORD004488,2024-01-07,C00619,East,Online,Electronics,Keyboard,1,66.47,0.05,33.8
ORD004488,2024-01-07,C00619,East,Online,Electronics,Headphones,2,86.54,0.15,49.3
ORD004648,2024-01-07,C02022,East,Online,Beauty,Makeup Kit,3,39.24,0.1,14.0
ORD004648,2024-01-07,C02022,East,Online,Home,Lamp,2,49.15,0.0,21.12
ORD004885,2024-01-07,C00995,North,Marketplace,Electronics,Headphones,1,83.92,0.15,49.3
ORD005778,2024-01-07,C00088,North,Marketplace,Electronics,Smartwatch,1,205.05,0.0,132.3
ORD001961,2024-01-08,C00176,North,Store,Fitness,Dumbbells,4,72.26,0.0,39.9
ORD001961,2024-01-08,C00176,North,Store,Beauty,Makeup Kit,2,40.15,0.15,14.0
ORD002396,2024-01-08,C01420,East,Store,Fitness,Dumbbells,2,66.98,0.0,39.9
ORD002396,2024-01-08,C01420,East,Store,Home,Coffee Maker,2,94.86,0.1,52.25
ORD003351,2024-01-08,C01864,East,Store,Home,Lamp,1,49.38,0.1,21.12
ORD003351,2024-01-08,C01864,East,Store,Beauty,Skin Care Set,1,45.52,0.0,16.65
ORD004719,2024-01-08,C00822,East,Store,Fitness,Yoga Mat,3,29.86,0.1,12.6
ORD004719,2024-01-08,C00822,East,Store,Fitness,Dumbbells,2,66.15,0.1,39.9
ORD005575,2024-01-08,C00442,North,Online,Electronics,Headphones,3,90.04,0.1,49.3
ORD001673,2024-01-09,C00643,East,Online,Fitness,Dumbbells,1,68.94,0.05,39.9
ORD002625,2024-01-09,C00524,East,Online,Electronics,Smartwatch,1,221.95,0.1,132.3
ORD002625,2024-01-09,C00524,East,Online,Home,Lamp,1,45.57,0.0,21.12
ORD002872,2024-01-09,C01460,South,Store,Fitness,Dumbbells,1,66.33,0.0,39.9
ORD003480,2024-01-09,C01847,South,Marketplace,Electronics,Smartwatch,3,226.53,0.05,132.3
ORD003480,2024-01-09,C01847,South,Marketplace,Beauty,Skin Care Set,1,46.68,0.0,16.65
ORD003987,2024-01-09,C00559,North,Online,Home,Lamp,1,49.83,0.2,21.12
ORD004694,2024-01-09,C00297,North,Marketplace,Electronics,Smartwatch,1,225.44,0.05,132.3
ORD004694,2024-01-09,C00297,North,Marketplace,Beauty,Skin Care Set,1,44.17,0.1,16.65
ORD005567,2024-01-09,C01613,North,Online,Electronics,Headphones,2,81.77,0.05,49.3
ORD005567,2024-01-09,C01613,North,Online,Fitness,Dumbbells,2,73.72,0.05,39.9
ORD001500,2024-01-10,C01342,West,Marketplace,Home,Lamp,1,48.49,0.0,21.12
ORD001500,2024-01-10,C01342,West,Marketplace,Beauty,Hair Dryer,1,82.36,0.0,39.0
ORD004399,2024-01-10,C01864,North,Online,Beauty,Hair Dryer,1,82.04,0.0,39.0
ORD004526,2024-01-10,C00296,South,Store,Electronics,Keyboard,1,66.89,0.1,33.8
ORD004526,2024-01-10,C00296,South,Store,Fitness,Yoga Mat,2,29.72,0.0,12.6
ORD004684,2024-01-10,C00199,South,Marketplace,Beauty,Hair Dryer,1,82.2,0.05,39.0
ORD004684,2024-01-10,C00199,South,Marketplace,Home,Storage Box,2,25.39,0.05,9.36
ORD004756,2024-01-10,C00609,South,Online,Home,Storage Box,2,24.65,0.15,9.36
ORD004984,2024-01-10,C00607,North,Store,Fitness,Yoga Mat,3,31.9,0.15,12.6
ORD004984,2024-01-10,C00607,North,Store,Electronics,Smartwatch,1,204.49,0.1,132.3
ORD000612,2024-01-11,C02146,West,Online,Home,Coffee Maker,2,100.3,0.2,52.25
ORD000612,2024-01-11,C02146,West,Online,Home,Storage Box,1,24.55,0.0,9.36
ORD000810,2024-01-11,C00616,North,Online,Home,Lamp,1,47.4,0.0,21.12
ORD001279,2024-01-11,C00788,North,Online,Electronics,Headphones,2,87.56,0.0,49.3
ORD001279,2024-01-11,C00788,North,Online,Home,Lamp,2,50.91,0.05,21.12
ORD001393,2024-01-11,C00274,North,Online,Fitness,Dumbbells,2,71.68,0.0,39.9
ORD001393,2024-01-11,C00274,North,Online,Beauty,Skin Care Set,4,44.13,0.1,16.65
ORD002276,2024-01-11,C00315,North,Online,Home,Coffee Maker,2,92.84,0.05,52.25
ORD003153,2024-01-11,C00132,East,Store,Home,Coffee Maker,2,100.89,0.0,52.25
ORD003153,2024-01-11,C00132,East,Store,Beauty,Makeup Kit,2,39.65,0.15,14.0
ORD003493,2024-01-11,C00519,South,Store,Home,Coffee Maker,2,99.83,0.15,52.25
ORD003949,2024-01-11,C00108,South,Online,Home,Storage Box,1,23.28,0.0,9.36
ORD004962,2024-01-11,C00087,West,Online,Fitness,Resistance Bands,2,23.24,0.2,7.48
ORD004962,2024-01-11,C00087,West,Online,Electronics,Keyboard,2,61.43,0.0,33.8
ORD005028,2024-01-11,C01952,East,Online,Electronics,Keyboard,2,65.91,0.05,33.8
ORD005028,2024-01-11,C01952,East,Online,Electronics,Keyboard,1,64.77,0.0,33.8
ORD000944,2024-01-12,C00825,West,Online,Beauty,Makeup Kit,1,37.69,0.1,14.0
ORD001063,2024-01-12,C00166,North,Online,Electronics,Headphones,1,80.74,0.3,49.3
ORD001063,2024-01-12,C00166,North,Online,Fitness,Resistance Bands,4,22.11,0.2,7.48
ORD001163,2024-01-12,C00127,West,Online,Fitness,Resistance Bands,1,20.8,0.05,7.48
ORD001215,2024-01-12,C01168,North,Store,Electronics,Smartwatch,1,209.89,0.0,132.3
ORD001215,2024-01-12,C01168,North,Store,Beauty,Skin Care Set,1,45.0,0.15,16.65
ORD001667,2024-01-12,C00072,South,Online,Beauty,Makeup Kit,3,37.74,0.15,14.0
ORD002265,2024-01-12,C00755,North,Marketplace,Beauty,Skin Care Set,1,42.71,0.05,16.65
ORD002607,2024-01-12,C00521,North,Online,Home,Storage Box,2,23.24,0.0,9.36
ORD002710,2024-01-12,C00835,East,Online,Beauty,Skin Care Set,1,43.97,0.0,16.65
ORD002710,2024-01-12,C00835,East,Online,Home,Coffee Maker,1,102.03,0.3,52.25
ORD003164,2024-01-12,C00184,South,Online,Electronics,Headphones,1,86.68,0.1,49.3
ORD003176,2024-01-12,C00563,East,Online,Fitness,Resistance Bands,2,21.13,0.0,7.48
ORD003756,2024-01-12,C00343,West,Online,Electronics,Keyboard,1,62.75,0.2,33.8
ORD004621,2024-01-12,C00038,South,Online,Fitness,Yoga Mat,2,31.72,0.1,12.6
ORD004621,2024-01-12,C00038,South,Online,Beauty,Makeup Kit,1,38.87,0.05,14.0
ORD004792,2024-01-12,C02144,North,Store,Fitness,Dumbbells,1,70.01,0.1,39.9
ORD004845,2024-01-12,C02035,East,Online,Home,Lamp,1,50.6,0.0,21.12
ORD005030,2024-01-12,C00509,North,Marketplace,Electronics,Smartwatch,2,215.58,0.15,132.3
ORD005030,2024-01-12,C00509,North,Marketplace,Fitness,Resistance Bands,2,23.66,0.05,7.48
ORD005601,2024-01-12,C00614,East,Online,Electronics,Keyboard,2,63.58,0.0,33.8
ORD005601,2024-01-12,C00614,East,Online,Home,Coffee Maker,1,102.36,0.0,52.25
ORD000435,2024-01-13,C01467,East,Online,Electronics,Keyboard,1,68.49,0.05,33.8
ORD000435,2024-01-13,C01467,East,Online,Home,Coffee Maker,1,97.0,0.2,52.25
ORD000561,2024-01-13,C00140,South,Store,Beauty,Hair Dryer,4,79.74,0.1,39.0
ORD000711,2024-01-13,C00208,South,Store,Beauty,Hair Dryer,1,76.05,0.0,39.0
ORD001188,2024-01-13,C01699,North,Online,Fitness,Dumbbells,1,73.44,0.15,39.9
ORD001278,2024-01-13,C00819,North,Online,Fitness,Yoga Mat,1,29.64,0.0,12.6
ORD001278,2024-01-13,C00819,North,Online,Home,Storage Box,2,25.9,0.15,9.36
ORD001660,2024-01-13,C00268,North,Online,Electronics,Keyboard,1,68.46,0.1,33.8
ORD001849,2024-01-13,C00230,South,Store,Fitness,Resistance Bands,1,22.7,0.2,7.48
ORD002037,2024-01-13,C00028,North,Online,Home,Lamp,1,50.66,0.0,21.12
ORD002037,2024-01-13,C00028,North,Online,Beauty,Skin Care Set,2,44.94,0.05,16.65
ORD002558,2024-01-13,C00054,South,Store,Electronics,Smartwatch,2,218.1,0.05,132.3
ORD002558,2024-01-13,C00054,South,Store,Beauty,Makeup Kit,1,41.48,0.1,14.0
ORD003228,2024-01-13,C00546,North,Online,Beauty,Skin Care Set,2,46.24,0.0,16.65
ORD003436,2024-01-13,C00887,East,Online,Electronics,Keyboard,1,61.66,0.1,33.8
ORD003436,2024-01-13,C00887,East,Online,Electronics,Smartwatch,1,225.15,0.15,132.3
ORD004092,2024-01-13,C00460,East,Online,Fitness,Dumbbells,2,69.42,0.0,39.9
ORD004214,2024-01-13,C00008,East,Store,Electronics,Smartwatch,1,203.74,0.2,132.3
ORD004214,2024-01-13,C00008,East,Store,Home,Storage Box,1,24.64,0.1,9.36
ORD005628,2024-01-13,C00654,North,Store,Fitness,Resistance Bands,4,22.06,0.1,7.48
ORD000513,2024-01-14,C00618,East,Online,Beauty,Makeup Kit,3,37.89,0.05,14.0
ORD001983,2024-01-14,C00008,North,Store,Electronics,Keyboard,4,64.4,0.15,33.8
ORD001983,2024-01-14,C00008,North,Store,Electronics,Headphones,1,81.58,0.2,49.3
ORD002135,2024-01-14,C01350,West,Store,Beauty,Skin Care Set,1,43.75,0.0,16.65
ORD002135,2024-01-14,C01350,West,Store,Electronics,Smartwatch,1,225.3,0.05,132.3
ORD004707,2024-01-14,C00798,West,Online,Beauty,Hair Dryer,1,82.3,0.2,39.0
ORD004746,2024-01-14,C00056,North,Online,Fitness,Resistance Bands,4,22.12,0.05,7.48
ORD004746,2024-01-14,C00056,North,Online,Home,Storage Box,2,23.82,0.05,9.36
ORD001117,2024-01-15,C00043,West,Online,Fitness,Yoga Mat,1,28.37,0.0,12.6
ORD001117,2024-01-15,C00043,West,Online,Electronics,Keyboard,1,67.06,0.1,33.8
ORD001248,2024-01-15,C00533,East,Store,Electronics,Smartwatch,2,198.32,0.15,132.3
ORD003451,2024-01-15,C00690,North,Store,Home,Storage Box,1,23.83,0.1,9.36
ORD003451,2024-01-15,C00690,North,Store,Home,Storage Box,4,23.74,0.2,9.36
ORD004448,2024-01-15,C02070,North,Online,Home,Lamp,1,46.66,0.2,21.12
ORD004448,2024-01-15,C02070,North,Online,Electronics,Smartwatch,1,219.42,0.0,132.3
ORD004895,2024-01-15,C01984,West,Marketplace,Beauty,Skin Care Set,2,44.07,0.15,16.65
ORD000731,2024-01-16,C00544,South,Store,Electronics,Smartwatch,1,223.13,0.05,132.3
ORD000731,2024-01-16,C00544,South,Store,Electronics,Keyboard,1,68.17,0.1,33.8
ORD000857,2024-01-16,C00047,South,Online,Beauty,Skin Care Set,1,47.07,0.05,16.65
ORD000857,2024-01-16,C00047,South,Online,Fitness,Resistance Bands,2,23.21,0.0,7.48
ORD001904,2024-01-16,C00513,West,Store,Electronics,Headphones,3,87.23,0.2,49.3
ORD001904,2024-01-16,C00513,West,Store,Home,Lamp,2,47.13,0.3,21.12
ORD002507,2024-01-16,C00360,West,Store,Home,Lamp,3,46.21,0.0,21.12
ORD003729,2024-01-16,C01117,East,Online,Fitness,Dumbbells,3,73.84,0.05,39.9
ORD003729,2024-01-16,C01117,East,Online,Beauty,Hair Dryer,4,78.32,0.0,39.0
ORD004594,2024-01-16,C00196,South,Store,Beauty,Makeup Kit,1,40.34,0.0,14.0
ORD005118,2024-01-16,C00333,North,Store,Fitness,Yoga Mat,1,31.69,0.0,12.6
ORD005118,2024-01-16,C00333,North,Store,Home,Lamp,2,49.09,0.05,21.12
ORD005257,2024-01-16,C00220,West,Online,Beauty,Makeup Kit,3,42.9,0.0,14.0
ORD005397,2024-01-16,C00254,South,Store,Fitness,Resistance Bands,2,23.18,0.0,7.48
ORD005888,2024-01-16,C00036,East,Online,Fitness,Yoga Mat,4,28.34,0.1,12.6
ORD005888,2024-01-16,C00036,East,Online,Home,Storage Box,1,25.8,0.05,9.36
ORD005909,2024-01-16,C00373,South,Online,Fitness,Dumbbells,1,66.42,0.0,39.9
ORD005909,2024-01-16,C00373,South,Online,Beauty,Makeup Kit,1,37.99,0.0,14.0
ORD000047,2024-01-17,C00395,West,Online,Electronics,Keyboard,1,67.12,0.05,33.8
ORD000047,2024-01-17,C00395,West,Online,Home,Storage Box,2,22.88,0.05,9.36
ORD001549,2024-01-17,C00691,South,Online,Fitness,Dumbbells,2,70.97,0.1,39.9
ORD005505,2024-01-17,C00806,East,Online,Electronics,Smartwatch,1,206.74,0.2,132.3
ORD005505,2024-01-17,C00806,East,Online,Fitness,Dumbbells,3,74.35,0.15,39.9
ORD005774,2024-01-17,C00682,South,Store,Electronics,Smartwatch,2,210.2,0.0,132.3
ORD000770,2024-01-18,C00135,West,Online,Fitness,Dumbbells,1,68.76,0.05,39.9
ORD000770,2024-01-18,C00135,West,Online,Beauty,Makeup Kit,2,41.58,0.05,14.0
ORD001839,2024-01-18,C01686,West,Online,Home,Coffee Maker,1,93.65,0.15,52.25
ORD003328,2024-01-18,C00587,North,Online,Beauty,Hair Dryer,1,84.21,0.0,39.0
ORD005836,2024-01-18,C00261,East,Store,Electronics,Headphones,1,81.54,0.05,49.3
ORD000055,2024-01-19,C00023,West,Store,Electronics,Smartwatch,1,219.13,0.0,132.3
ORD000055,2024-01-19,C00023,West,Store,Beauty,Skin Care Set,3,43.08,0.05,16.65
ORD000174,2024-01-19,C01168,North,Online,Beauty,Makeup Kit,1,38.95,0.0,14.0
ORD001077,2024-01-19,C00655,West,Store,Home,Coffee Maker,1,99.91,0.1,52.25
ORD001077,2024-01-19,C00655,West,Store,Beauty,Skin Care Set,1,47.46,0.05,16.65
ORD001722,2024-01-19,C00220,North,Online,Electronics,Headphones,1,82.68,0.1,49.3
ORD002597,2024-01-19,C00196,North,Online,Fitness,Dumbbells,1,75.48,0.0,39.9
ORD003384,2024-01-19,C00274,South,Online,Home,Coffee Maker,2,91.8,0.15,52.25
ORD003384,2024-01-19,C00274,South,Online,Electronics,Headphones,1,89.7,0.15,49.3
ORD003387,2024-01-19,C00773,North,Online,Fitness,Dumbbells,1,72.3,0.2,39.9
ORD003965,2024-01-19,C01628,South,Store,Fitness,Resistance Bands,1,23.58,0.2,7.48
ORD003965,2024-01-19,C01628,South,Store,Home,Storage Box,2,23.43,0.0,9.36
ORD004801,2024-01-19,C00617,West,Online,Beauty,Makeup Kit,2,42.38,0.0,14.0
ORD005185,2024-01-19,C00606,South,Online,Home,Storage Box,1,22.86,0.3,9.36
ORD005354,2024-01-19,C00050,West,Online,Beauty,Makeup Kit,1,37.72,0.0,14.0
ORD000287,2024-01-20,C00641,South,Store,Beauty,Skin Care Set,2,47.72,0.0,16.65
ORD000577,2024-01-20,C00565,North,Online,Beauty,Makeup Kit,1,38.05,0.0,14.0
ORD000789,2024-01-20,C00311,East,Online,Electronics,Keyboard,2,61.83,0.1,33.8
ORD001935,2024-01-20,C00403,East,Store,Home,Lamp,2,50.7,0.15,21.12
ORD001935,2024-01-20,C00403,East,Store,Fitness,Dumbbells,1,70.09,0.0,39.9
ORD002277,2024-01-20,C01653,South,Online,Beauty,Hair Dryer,2,77.96,0.0,39.0
ORD002277,2024-01-20,C01653,South,Online,Beauty,Skin Care Set,1,45.71,0.0,16.65
ORD002948,2024-01-20,C00181,West,Online,Home,Storage Box,1,22.71,0.15,9.36
ORD002948,2024-01-20,C00181,West,Online,Electronics,Smartwatch,2,214.39,0.0,132.3
ORD003444,2024-01-20,C00493,North,Online,Beauty,Hair Dryer,2,79.26,0.05,39.0
ORD003444,2024-01-20,C00493,North,Online,Beauty,Hair Dryer,2,80.2,0.05,39.0
ORD003460,2024-01-20,C00480,South,Store,Electronics,Headphones,1,86.96,0.05,49.3
ORD003460,2024-01-20,C00480,South,Store,Fitness,Dumbbells,1,66.15,0.05,39.9
ORD003542,2024-01-20,C00595,South,Online,Fitness,Resistance Bands,2,22.66,0.15,7.48
ORD004813,2024-01-20,C01801,North,Marketplace,Home,Storage Box,1,22.56,0.0,9.36
ORD004813,2024-01-20,C01801,North,Marketplace,Beauty,Makeup Kit,2,43.18,0.0,14.0
ORD003440,2024-01-21,C00013,South,Online,Beauty,Skin Care Set,2,46.59,0.15,16.65
ORD003715,2024-01-21,C00555,West,Online,Fitness,Dumbbells,1,69.01,0.2,39.9
ORD003715,2024-01-21,C00555,West,Online,Fitness,Resistance Bands,1,20.83,0.0,7.48
ORD004245,2024-01-21,C00455,West,Marketplace,Beauty,Skin Care Set,1,44.17,0.0,16.65
ORD004245,2024-01-21,C00455,West,Marketplace,Beauty,Makeup Kit,4,38.52,0.0,14.0
ORD004342,2024-01-21,C00881,East,Online,Beauty,Makeup Kit,2,38.23,0.1,14.0
ORD004602,2024-01-21,C00111,North,Store,Electronics,Keyboard,1,67.65,0.05,33.8
ORD004602,2024-01-21,C00111,North,Store,Fitness,Yoga Mat,1,30.88,0.15,12.6
ORD000187,2024-01-22,C01940,North,Store,Home,Storage Box,2,24.01,0.05,9.36
ORD000671,2024-01-22,C00369,West,Online,Home,Lamp,1,46.64,0.0,21.12
ORD000671,2024-01-22,C00369,West,Online,Electronics,Headphones,1,91.69,0.1,49.3
ORD000870,2024-01-22,C01390,West,Store,Beauty,Skin Care Set,2,45.43,0.15,16.65
ORD000870,2024-01-22,C01390,West,Store,Beauty,Hair Dryer,1,80.76,0.15,39.0
ORD001191,2024-01-22,C02119,North,Online,Home,Coffee Maker,3,95.72,0.0,52.25
ORD001797,2024-01-22,C00317,East,Online,Beauty,Skin Care Set,2,45.94,0.1,16.65
ORD001797,2024-01-22,C00317,East,Online,Electronics,Headphones,3,88.76,0.0,49.3
ORD001819,2024-01-22,C01026,East,Marketplace,Electronics,Headphones,3,91.65,0.0,49.3
ORD002392,2024-01-22,C00175,North,Store,Home,Coffee Maker,1,91.24,0.0,52.25
ORD002414,2024-01-22,C00114,West,Online,Home,Lamp,1,46.47,0.05,21.12
ORD002414,2024-01-22,C00114,West,Online,Beauty,Makeup Kit,2,42.36,0.05,14.0
ORD003256,2024-01-22,C00604,East,Online,Beauty,Makeup Kit,1,42.01,0.1,14.0
ORD003256,2024-01-22,C00604,East,Online,Fitness,Yoga Mat,2,29.99,0.0,12.6
ORD003649,2024-01-22,C00134,South,Marketplace,Home,Lamp,1,46.09,0.0,21.12
ORD003649,2024-01-22,C00134,South,Marketplace,Beauty,Makeup Kit,4,43.11,0.0,14.0
ORD005271,2024-01-22,C00963,North,Online,Home,Coffee Maker,1,95.4,0.05,52.25
ORD005347,2024-01-22,C01035,West,Marketplace,Electronics,Keyboard,2,63.48,0.15,33.8
ORD005347,2024-01-22,C01035,West,Marketplace,Beauty,Hair Dryer,2,79.21,0.1,39.0
ORD005725,2024-01-22,C00108,South,Online,Fitness,Resistance Bands,2,21.53,0.0,7.48
ORD005725,2024-01-22,C00108,South,Online,Beauty,Hair Dryer,2,78.49,0.2,39.0
ORD000439,2024-01-23,C00390,West,Marketplace,Electronics,Headphones,2,89.74,0.1,49.3
ORD000564,2024-01-23,C00033,South,Store,Home,Lamp,1,50.17,0.0,21.12
ORD001383,2024-01-23,C00730,North,Online,Beauty,Makeup Kit,2,39.84,0.0,14.0
ORD001835,2024-01-23,C00583,East,Online,Electronics,Smartwatch,1,220.54,0.0,132.3
ORD002914,2024-01-23,C01745,South,Online,Home,Lamp,1,46.66,0.0,21.12
ORD002914,2024-01-23,C01745,South,Online,Electronics,Keyboard,1,65.53,0.3,33.8
ORD003978,2024-01-23,C00255,East,Online,Home,Coffee Maker,1,100.23,0.0,52.25
ORD003978,2024-01-23,C00255,East,Online,Home,Storage Box,1,24.47,0.05,9.36
ORD005817,2024-01-23,C00653,South,Store,Fitness,Yoga Mat,1,30.26,0.1,12.6
ORD000049,2024-01-24,C00683,South,Online,Fitness,Dumbbells,1,73.94,0.0,39.9
ORD000366,2024-01-24,C00700,South,Online,Home,Storage Box,4,24.03,0.0,9.36
ORD000366,2024-01-24,C00700,South,Online,Home,Lamp,1,48.39,0.1,21.12
ORD001746,2024-01-24,C00084,South,Online,Home,Coffee Maker,2,93.13,0.15,52.25
ORD001931,2024-01-24,C01167,West,Marketplace,Beauty,Makeup Kit,1,40.45,0.0,14.0
ORD002290,2024-01-24,C00212,South,Online,Electronics,Smartwatch,2,204.1,0.1,132.3
ORD002290,2024-01-24,C00212,South,Online,Fitness,Dumbbells,2,66.29,0.05,39.9
ORD003033,2024-01-24,C00344,East,Marketplace,Home,Coffee Maker,1,91.65,0.1,52.25
ORD003033,2024-01-24,C00344,East,Marketplace,Home,Lamp,3,50.5,0.2,21.12
ORD004419,2024-01-24,C00182,South,Online,Home,Coffee Maker,3,91.46,0.05,52.25
ORD004419,2024-01-24,C00182,South,Online,Home,Lamp,1,51.78,0.1,21.12
